Course Title,Description,Rating,Link,Duration,Level
GenAI Applied to Quantitative Finance: For Control Implementation,"This course explores the application of Generative AI in quantitative finance, focusing on building sustainable trading algorithms through keyword extraction, sentiment analysis, and time-series forecasting. Learn to predict commodity prices, such as gold, by integrating data from financial news sources, leveraging sentiment analysis, and optimizing models for robust trading signals.",4.7/5,https://courses.analyticsvidhya.com/courses/genai-applied-to-quantitative-finance-for-control-implementation,1 Hour,Intermediate
"Navigating LLM Tradeoffs: Techniques for Speed, Cost, Scale & Accuracy","This course provides a concise guide to optimizing Large Language Models (LLMs) by navigating tradeoffs in speed, cost, scale, and accuracy. Learn practical techniques like LoRA, model quantization, and parameter-efficient fine-tuning to improve performance while reducing costs. You'll explore various deployment strategies and understand how to evaluate LLMs using industry-standard benchmarks, making this course ideal for anyone seeking efficient, scalable AI solutions.",4.8/5,https://courses.analyticsvidhya.com/courses/navigating-llm-tradeoffs-techniques-for-speed-cost-scale-and-accuracy,1 Hour,Beginner
Creating Problem-Solving Agents using GenAI for Action Composition,"This introductory course provides a concise overview of Agentic AI systems, covering their evolution, current state, and practical applications. You will explore key topics including the history of Agentic AI systems, the role of agents today, multi-agent systems, and practical solutions for implementing them. Perfect for those seeking a foundational understanding of intelligent Agentic AI systems in action.",4.7/5,https://courses.analyticsvidhya.com/courses/creating-problem-solving-agents-using-genai-for-action-composition,1 Hour,Beginner
Improving Real World RAG Systems: Key Challenges & Practical Solutions,"This course explores the key challenges in building real-world Retrieval-Augmented Generation (RAG) systems and provides practical solutions. Topics include improving data retrieval, dealing with hallucinations, context selection, and optimizing system performance using advanced prompting, retrieval strategies, and evaluation techniques. Through hands-on demos, you will gain insights into better chunking, embedding models, and agentic RAG systems for more robust, real-world applications.",4.8/5,https://courses.analyticsvidhya.com/courses/improving-real-world-rag-systems-key-challenges,1 Hour,Beginner
Framework to Choose the Right LLM for your Business,"This course will guide you through the process of selecting the most suitable Large Language Model (LLM) for various business needs. By examining factors such as accuracy, cost, scalability, and integration, you will understand how different LLMs perform in specific scenarios, from customer support to healthcare and strategy development. The course emphasizes practical decision-making with real-world case studies, helping businesses navigate the rapidly evolving LLM landscape effectively.",4.7/5,https://courses.analyticsvidhya.com/courses/choosing-the-right-LLM-for-your-business,1 Hour,Beginner
Building Smarter LLMs with Mamba and State Space Model,"Unlock the Power of State Space Models (SSM) like Mamba with our comprehensive course designed for AI professionals, data scientists, and NLP enthusiasts. Master the art of integrating SSM with deep learning, unravel the complexities of models like Mamba, and elevate your understanding of Generative AI's newest and most innovative models. This course is designed to equip you with the skills needed to understand these cutting-edge AI models and how they work, making you proficient in the latest AI techniques and architectures.",NA,https://courses.analyticsvidhya.com/courses/building-smarter-llms-with-mamba-and-state-space-model,NA,Beginner
Generative AI - A Way of Life - Free Course,"This course is a transformative journey tailored for beginners and delves into AI-powered text and image generation using leading tools like ChatGPT, Microsoft Copilot, and DALL·E3. Learn practical applications across industries, ethical considerations, and best practices. Whether you're a content creator, business innovator, or AI enthusiast, gain the expertise to harness Generative AI's full potential and drive innovation in your field.",4.7/5,https://courses.analyticsvidhya.com/courses/genai-a-way-of-life,6 Hours,Beginner
Building LLM Applications using Prompt Engineering - Free Course,Building LLM Applications using Prompt Engineering - Free Course,4.6/5,https://courses.analyticsvidhya.com/courses/building-llm-applications-using-prompt-engineering-free,2.1 Hours,Beginner 
Building Your First Computer Vision Model - Free Course,Building Your First Computer Vision Model - Free Course,4.6/5,https://courses.analyticsvidhya.com/courses/building-your-first-computer-vision-model,34 Mins,Beginner
MidJourney: From Inspiration to Implementation - Free Course,MidJourney: From Inspiration to Implementation - Free Course,4.6/5,https://courses.analyticsvidhya.com/courses/midjourney_from_inspiration_to_implementation,33 Mins,Intermediate
Understanding Linear Regression - Free Course,"This free course will help you understand the fundamentals of linear regression in a straightforward manner. By the end of this course, you will be able to build predictive models using linear regression techniques. With a carefully curated list of resources and exercises, this course serves as your comprehensive guide to mastering linear regression. ",Sufficient space in your laptop to download necessary files,https://courses.analyticsvidhya.com/courses/free-understanding-linear-regression,NA,Beginner
The Working of Neural Networks - Free Course,"This free course will help you understand the end-to-end working of neural networks in a simple manner. By the end of this course, you will be able to build advanced Deep Learning models using the PyTorch framework. With a carefully curated list of resources and exercises, this course serves as your comprehensive guide to mastering deep learning. It is recommended that you complete the advanced Machine Learning course before taking up this course.",Sufficient space in your laptop to download necessary files,https://courses.analyticsvidhya.com/courses/The%20Working%20of%20Neural%20Networks,NA,Beginner
The A to Z of Unsupervised ML - Free Course,"Unsupervised machine learning helps uncover hidden patterns and structures in data without labeled examples. It is essential for exploratory data analysis, reducing dimensionality, and discovering intrinsic relationships within datasets. Mastering unsupervised techniques enhances data preprocessing and drives insights in complex datasets where labels are scarce or unavailable.",4.6/5,https://courses.analyticsvidhya.com/courses/free-unsupervised-ml-guide,52 Mins,Intermediate
Building Your first RAG System using LlamaIndex - Free Course,"This course will guide you through building your first Retrieval-Augmented Generation (RAG) system using LlamaIndex. You will start with data ingestion by loading a file into the system, followed by indexing the data for efficient retrieval. Next, you will set up retrieval configurations and use a response synthesizer to combine data into a coherent response. Finally, you will employ a query engine to generate responses. By the end of this course, you will have a solid understanding of these processes and be able to build an RAG system using LlamaIndex code effectively.",4.8/5,https://courses.analyticsvidhya.com/courses/building-first-rag-systems-using-llamaindex,1.1 Hours,Intermediate
Exploring Stability.AI - Free Course,Exploring Stability.AI - Free Course,4.5/5,https://courses.analyticsvidhya.com/courses/exploring-stability-ai,1 Hour,Beginner 
Building a Text Classification Model with Natural Language Processing - Free Course,Building a Text Classification Model with Natural Language Processing - Free Course,4.7/5,https://courses.analyticsvidhya.com/courses/free-building-textclassification-natural-language-processing,70 Mins,Intermediate
Getting Started with Large Language Models,Getting Started with Large Language Models,4.5/5,https://courses.analyticsvidhya.com/courses/getting-started-with-llms,1.2 Hours,Beginner
Introduction to Generative  AI,Introduction to Generative  AI,NA,https://courses.analyticsvidhya.com/courses/introduction-to-generative-ai,NA,Beginner
Nano Course: Dreambooth-Stable Diffusion for Custom Images,Nano Course: Dreambooth-Stable Diffusion for Custom Images,4.6/5,https://courses.analyticsvidhya.com/courses/nano-course-dreambooth-stable-diffusion-for-custom-images,1 Hour,Advanced
A Comprehensive Learning Path for Deep Learning in 2023,A Comprehensive Learning Path for Deep Learning in 2023,NA,https://courses.analyticsvidhya.com/courses/a-comprehensive-learning-path-for-deep-learning-in-2023,NA,Beginner
A Comprehensive Learning Path to Become a Data Scientist in 2024,A Comprehensive Learning Path to Become a Data Scientist in 2024,4.8/5,https://courses.analyticsvidhya.com/courses/a-comprehensive-learning-path-to-become-a-data-scientist-in-twenty-twenty-four,2 Hours,Beginner 
Nano Course: Building Large Language Models for Code,Nano Course: Building Large Language Models for Code,4.7/5,https://courses.analyticsvidhya.com/courses/building-large-language-models-for-code,38 Mins,Intermediate
Machine Learning Summer Training,"This is the second step of the Machine Learning Summer Training, want to know more click here.",NA,https://courses.analyticsvidhya.com/courses/machine-learning-summer-training,NA,Beginner
AI Ethics by Fractal,AI Ethics by Fractal,NA,https://courses.analyticsvidhya.com/courses/ai-ethics-fractal,NA,Beginner
A Comprehensive Learning Path to Become a Data Engineer in 2022,A Comprehensive Learning Path to Become a Data Engineer in 2022,NA,https://courses.analyticsvidhya.com/courses/a-comprehensive-learning-path-to-become-a-data-engineer-in-2022,NA,Beginner
Certified Business Analytics Program,Certified Business Analytics Program,NA,https://courses.analyticsvidhya.com/bundles/certified-business-analytics-program,NA,Intermediate
Certified Machine Learning Master's Program (MLMP),Certified Machine Learning Master's Program (MLMP),NA,https://courses.analyticsvidhya.com/bundles/certified-machine-learning-master-s-program-mlmp,NA,Intermediate
Certified Natural Language Processing Master’s Program,Certified Natural Language Processing Master’s Program,NA,https://courses.analyticsvidhya.com/bundles/certified-natural-language-processing-master-s-program,NA,Intermediate
Certified Computer Vision Master's Program,Certified Computer Vision Master's Program,NA,https://courses.analyticsvidhya.com/bundles/certified-computer-vision-masters-program,NA,Intermediate
Applied Machine Learning - Beginner to Professional,Applied Machine Learning - Beginner to Professional,4.2/5,https://courses.analyticsvidhya.com/courses/applied-machine-learning-beginner-to-professional,NA,Intermediate
Ace Data Science Interviews,Ace Data Science Interviews,4.1/5,https://courses.analyticsvidhya.com/courses/ace-data-science-interviews,NA,Intermediate
Writing Powerful Data Science Articles,Writing Powerful Data Science Articles,NA,https://courses.analyticsvidhya.com/courses/writing-powerful-data-science-articles,NA,Beginner
Machine Learning Certification Course for Beginners,Machine Learning Certification Course for Beginners,4.8/5,https://courses.analyticsvidhya.com/courses/Machine-Learning-Certification-Course-for-Beginners,6 Hours,Beginner
Data Science Career Conclave,Data Science Career Conclave,NA,https://courses.analyticsvidhya.com/courses/data-science-career-conclave,NA,Beginner
Top Data Science Projects for Analysts and Data Scientists,Top Data Science Projects for Analysts and Data Scientists,4.8/5,https://courses.analyticsvidhya.com/courses/top-data-science-projects-for-analysts-and-data-scientists,4.6/5,Beginner
Getting Started with Git and GitHub for Data Science Professionals,Getting Started with Git and GitHub for Data Science Professionals,4.5/5,https://courses.analyticsvidhya.com/courses/getting-started-with-git-and-github-for-data-science-professionals,NA,Intermediate
Machine Learning Starter Program,Machine Learning Starter Program,4.6/5,https://courses.analyticsvidhya.com/bundles/machine-learning-starter-program,NA,Intermediate
"Data Science Hacks, Tips and Tricks","Data Science Hacks, Tips and Tricks",NA,https://courses.analyticsvidhya.com/courses/data-science-hacks-tips-and-tricks,NA,Beginner
Introduction to Business Analytics,Introduction to Business Analytics,4.6/5,https://courses.analyticsvidhya.com/courses/introduction-to-analytics,1 Hour,Beginner 
Introduction to PyTorch for Deep Learning,Introduction to PyTorch for Deep Learning,4.6/5,https://courses.analyticsvidhya.com/courses/introduction-to-pytorch-for-deeplearning,1 Hour,Beginner 
Introductory Data Science for Business Managers,Introductory Data Science for Business Managers,NA,https://courses.analyticsvidhya.com/bundles/introductory-data-science-for-business-managers,NA,Beginner
Introduction to Natural Language Processing,Introduction to Natural Language Processing,4.7/5,https://courses.analyticsvidhya.com/courses/Intro-to-NLP,5 Hours,Beginner 
Getting started with Decision Trees,Getting started with Decision Trees,NA,https://courses.analyticsvidhya.com/courses/getting-started-with-decision-trees,NA,Beginner
Introduction to Python,Introduction to Python,4.8/5,https://courses.analyticsvidhya.com/courses/introduction-to-data-science,1 Hour,Beginner
Loan Prediction Practice Problem (Using Python),Loan Prediction Practice Problem (Using Python),NA,https://courses.analyticsvidhya.com/courses/loan-prediction-practice-problem-using-python,4.7/5,Beginner
Big Mart Sales Prediction Using R,Big Mart Sales Prediction Using R,NA,https://courses.analyticsvidhya.com/courses/big-mart-sales-prediction-using-r,4.6/5,Beginner
Twitter Sentiment Analysis,Twitter Sentiment Analysis,NA,https://courses.analyticsvidhya.com/courses/twitter-sentiment-analysis,4.7/5,Beginner
Pandas for Data Analysis in Python,Pandas for Data Analysis in Python,NA,https://courses.analyticsvidhya.com/courses/pandas-for-data-analysis-in-python,NA,Beginner
Support Vector Machine (SVM) in Python and R,Support Vector Machine (SVM) in Python and R,NA,https://courses.analyticsvidhya.com/courses/support-vector-machine-svm-in-python-and-r,NA,Beginner
Evaluation Metrics for Machine Learning Models,Evaluation Metrics for Machine Learning Models,NA,https://courses.analyticsvidhya.com/courses/evaluation-metrics-for-machine-learning-models,NA,Beginner
Fundamentals of Regression Analysis,Fundamentals of Regression Analysis,NA,https://courses.analyticsvidhya.com/courses/Fundamentals-of-Regression-Analysis,NA,Beginner
Getting Started with scikit-learn (sklearn) for Machine Learning,Getting Started with scikit-learn (sklearn) for Machine Learning,NA,https://courses.analyticsvidhya.com/courses/get-started-with-scikit-learn-sklearn,NA,Beginner
Convolutional Neural Networks (CNN) from Scratch,Convolutional Neural Networks (CNN) from Scratch,4.7/5,https://courses.analyticsvidhya.com/courses/convolutional-neural-networks-cnn-from-scratch,6 Hours,Beginner
Dimensionality Reduction for Machine Learning,Dimensionality Reduction for Machine Learning,NA,https://courses.analyticsvidhya.com/courses/dimensionality-reduction-for-machine-learning,NA,Beginner
K-Nearest Neighbors (KNN) Algorithm in Python and R,K-Nearest Neighbors (KNN) Algorithm in Python and R,NA,https://courses.analyticsvidhya.com/courses/K-Nearest-Neighbors-KNN-Algorithm,NA,Beginner
Ensemble Learning and Ensemble Learning Techniques,"Ensemble learning is a powerful machine learning algorithm that is used across industries by data science experts. The beauty of ensemble learning techniques is that they combine the predictions of multiple machine learning models. You must have used or come across several of these ensemble learning techniques in your machine learning journey:- Bagging- Boosting- Stacking- Blending, etc. These ensemble learning techniques include popular machine learning algorithms such as XGBoost, Gradient Boosting, among others. You must be getting a good idea of how vast and useful ensemble learning can be!",NA,https://courses.analyticsvidhya.com/courses/ensemble-learning-and-ensemble-learning-techniques,NA,Beginner
Linear Programming for Data Science Professionals,Linear Programming for Data Science Professionals,NA,https://courses.analyticsvidhya.com/courses/linear-programming,NA,Beginner
Naive Bayes from Scratch,Naive Bayes from Scratch,4.6/5,https://courses.analyticsvidhya.com/courses/naive-bayes,30 Mins,Advanced
Learn Swift for Data Science,Learn Swift for Data Science,NA,https://courses.analyticsvidhya.com/courses/learn-swift-for-data-science,NA,Beginner
Introduction to Web Scraping using Python,Introduction to Web Scraping using Python,NA,https://courses.analyticsvidhya.com/courses/introduction-to-web-scraping,NA,Beginner
Tableau for Beginners,Tableau for Beginners,4.6/5,https://courses.analyticsvidhya.com/courses/tableau-for-beginners,15 Mins,Beginner 
Getting Started with Neural Networks,Getting Started with Neural Networks,4.7/5,https://courses.analyticsvidhya.com/courses/getting-started-with-neural-networks,70 Mins,Beginner 
Introduction to AI & ML,Introduction to AI & ML,4.8/5,https://courses.analyticsvidhya.com/courses/introduction-to-ai-ml,2 Hours,Beginner
Winning Data Science Hackathons - Learn from Elite Data Scientists,Winning Data Science Hackathons - Learn from Elite Data Scientists,NA,https://courses.analyticsvidhya.com/courses/winning-data-science-hackathons-learn-from-elite-data-scientists,NA,Beginner
Hypothesis Testing for Data Science and Analytics,Hypothesis Testing for Data Science and Analytics,NA,https://courses.analyticsvidhya.com/courses/hypothesis-testing-for-data-science-and-analytics,NA,Beginner
